pedido_id;vendedor;categoria;produto;status_pedido;quantidade;valor_unitario;prazo_entrega_dias
10001;Rafael Oliveira;Esportes;Raquete de Beach Tennis;Entregue;5;98.01;12
10002;Leandro Reis;Eletrônicos;SSD Externo;Entregue;4;599.89;8
10003;Flávia Azevedo;Eletrônicos;Notebook;Entregue;5;3774.96;5
10004;Lucas Ribeiro;Esportes;Garrafa Térmica;Entregue;1;87.67;4
10005;Vinícius Lopes;Eletrônicos;SSD Externo;Entregue;3;439.02;3
10006;Diego Fernandes;Esportes;Bicicleta Ergométrica;Em trânsito;2;1326.21;8
10007;Tiago Moura;Casa e Decoração;Espelho de Parede;Entregue;1;110.33;4
10008;Anderson Cruz;Esportes;Bermuda Esportiva;Entregue;4;84.85;11
10009;Flávia Azevedo;Brinquedos;Pista de Carrinhos;Em trânsito;3;158.1;2
10010;Tatiane Cunha;Casa e Decoração;Porta-Retratos;Entregue;5;44.88;5
10011;Simone Castro;Eletrônicos;Notebook;Em trânsito;1;3522.09;9
10012;Diego Fernandes;Eletrônicos;Webcam;Em trânsito;1;312.83;11
10013;Bruno Alves;Casa e Decoração;Espelho de Parede;Em trânsito;3;101.14;8
10014;Leandro Reis;Brinquedos;Pista de Carrinhos;Em trânsito;4;241.14;5
10015;Patrícia Rocha;Brinquedos;LEGO Clássico;Entregue;2;217.58;3
10016;Bianca Carvalho;Esportes;Garrafa Térmica;Cancelado;2;76.68;4
10017;Marcelo Monteiro;Casa e Decoração;Tapete Sala;Cancelado;3;219.56;12
10018;Bruno Alves;Esportes;Bermuda Esportiva;Entregue;1;95.61;8
10019;Larissa Nunes;Casa e Decoração;Fritadeira Air Fryer;Cancelado;3;657.5;16
10020;Renato Cavalcante;Eletrônicos;Smartwatch;Entregue;3;461.46;3
10021;Carlos Souza;Esportes;Tapete de Yoga;Entregue;4;66.15;7
10022;Gustavo Pinto;Casa e Decoração;Fritadeira Air Fryer;Entregue;1;444.31;10
10023;Débora Vieira;Casa e Decoração;Organizador de Gavetas;Entregue;3;80.45;8
10024;Ana Lima;Eletrônicos;Caixa de Som Bluetooth;Cancelado;1;157.23;10
10025;Ana Lima;Esportes;Halteres;Em trânsito;3;133.48;10
10026;Larissa Nunes;Brinquedos;Telescópio Infantil;Entregue;5;487.03;2
10027;Diego Fernandes;Casa e Decoração;Porta-Retratos;Entregue;1;28.93;8
10028;Patrícia Rocha;Eletrônicos;SSD Externo;Entregue;2;361.57;14
10029;Bruno Alves;Eletrônicos;Notebook;Entregue;3;4617.93;13
10030;Mariana Correia;Casa e Decoração;Jogo de Panelas;Entregue;3;228.61;9
10031;Ana Lima;Eletrônicos;Smartwatch;Entregue;3;980.84;11
10032;Débora Vieira;Eletrônicos;Webcam;Entregue;1;258.54;6
10033;Flávia Azevedo;Eletrônicos;Smart TV;Entregue;1;2949.71;12
10034;Bruno Alves;Esportes;Raquete de Beach Tennis;Entregue;1;252.55;11
10035;Ana Lima;Eletrônicos;Smartwatch;Entregue;1;543.66;6
10036;Camila Pereira;Brinquedos;Boneca Articulada;Entregue;4;105.91;5
10037;Ana Lima;Eletrônicos;Smartphone;Cancelado;1;2357.86;4
10038;Bruno Alves;Casa e Decoração;Fritadeira Air Fryer;Entregue;5;604.94;13
10039;Leandro Reis;Esportes;Tapete de Yoga;Em trânsito;5;48.48;10
10040;Rodrigo Batista;Casa e Decoração;Organizador de Gavetas;Entregue;1;91.74;8
10041;Rafael Oliveira;Eletrônicos;Smartwatch;Entregue;1;891.21;8
10042;Roberto Cardoso;Casa e Decoração;Difusor de Aromas;Entregue;5;91.4;3
10043;Diego Fernandes;Eletrônicos;Webcam;Entregue;3;280.73;14
10044;Isabela Mendes;Brinquedos;Boneca Articulada;Em trânsito;3;111.57;3
10045;Paulo Nascimento;Casa e Decoração;Organizador de Gavetas;Em trânsito;1;94.38;9
10046;Simone Castro;Esportes;Corda de Pular;Entregue;3;34.62;2
10047;Claudia Ramos;Eletrônicos;Notebook;Em trânsito;1;3639.32;11
10048;Patrícia Rocha;Casa e Decoração;Jogo de Panelas;Entregue;3;585.14;12
10049;Fernanda Costa;Eletrônicos;Mouse Sem Fio;Entregue;5;89.98;3
10050;Ana Lima;Brinquedos;Kit de Ciências;Entregue;4;112.19;4
10051;Aline Ferreira;Eletrônicos;Smartwatch;Entregue;5;762.94;6
10052;Vera Andrade;Esportes;Bola de Futebol;Entregue;3;91.15;3
10053;Sabrina Melo;Eletrônicos;Webcam;Entregue;3;334.49;11
10054;Tatiane Cunha;Esportes;Bermuda Esportiva;Em trânsito;1;172.78;12
10055;Diego Fernandes;Eletrônicos;Smartphone;Entregue;3;2232.62;9
10056;Flávia Azevedo;Esportes;Mochila de Hidratação;Entregue;1;159.56;3
10057;Juliana Martins;Eletrônicos;Tablet;Em trânsito;4;1645.34;3
10058;Camila Pereira;Eletrônicos;Smartphone;Entregue;1;2431.62;6
10059;Gustavo Pinto;Esportes;Bicicleta Ergométrica;Entregue;5;1463.0;2
10060;Bruno Alves;Esportes;Tapete de Yoga;Entregue;4;53.76;5
10061;Rodrigo Batista;Eletrônicos;Tablet;Entregue;2;1851.79;8
10062;Felipe Gomes;Esportes;Bicicleta Ergométrica;Entregue;4;887.49;4
10063;Bruno Alves;Esportes;Luva de Boxe;Entregue;4;177.15;9
10064;Diego Fernandes;Esportes;Mochila de Hidratação;Entregue;2;211.99;10
10065;Fernanda Costa;Eletrônicos;SSD Externo;Entregue;1;343.87;7
10066;Bruno Alves;Brinquedos;Pista de Carrinhos;Em trânsito;5;80.74;5
10067;Juliana Martins;Esportes;Bicicleta Ergométrica;Em trânsito;4;1306.35;10
10068;Bruno Alves;Casa e Decoração;Espelho de Parede;Entregue;2;322.53;9
10069;Marcelo Monteiro;Eletrônicos;Teclado Mecânico;Cancelado;5;375.12;3
10070;Patrícia Rocha;Eletrônicos;Tablet;Cancelado;4;1566.03;3
10071;Ana Lima;Brinquedos;Violão Infantil;Entregue;5;354.72;3
10072;Fernanda Costa;Eletrônicos;Caixa de Som Bluetooth;Em trânsito;2;185.37;14
10073;Diego Fernandes;Esportes;Bola de Futebol;Em trânsito;5;198.68;8
10074;Flávia Azevedo;Casa e Decoração;Fritadeira Air Fryer;Entregue;5;597.93;16
10075;Flávia Azevedo;Casa e Decoração;Porta-Retratos;Em trânsito;4;44.88;12
